Woreda,Kebele,Village Name,Name of water system,Latitude,Longitude,Elevation,Photo,Year of construction (EFY),on spot or have distribution,Number of water points,# Non functional water points,Total HH beneficiaries,#house hold connections,Type of water system,water source fenced,guard at source,Type of lifting device (on spot),Type of hand pump,Type of power source,Functionality Status,Has the system ever been maintained/Rehabilitated?,water quality test conducted regularly,Water quality complain from user community,What is the complain ?,Who manages the system?,Year of WASHCO established (EFY),Are all WASHCO members active?,Date of last woreda visit to the WASHCO (EFY)?,Was there WASHCO training?,Date of last WASHCO training (EFY),# of women WASHCO members,Does the WASHCO have bank account?,When was the bank account opened (EFY)?,the last audit conducted (EFY),Water fee collection,Fee collection Modality,Fee collected regularly,How many Birr per specified modality,
Mana,Doyo-Biqilaa,awasoo,burqaa sippi,7.683566618,36.74015069,1919,https://akvoflow-23.s3.amazonaws.com/images/ed0e2938-d5d5-41e2-b846-887377aeb86c.jpg,2008-11-05,On Spot,,,36,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,awasoo,burqaa mahamad a/mogga,7.682155236,36.73493419,1907,https://akvoflow-23.s3.amazonaws.com/images/67e3c1a4-1a5c-4e28-a2f6-29dec22a5843.jpg,2007-12-05,On Spot,,,25,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,tullamaa,burqaa tigiree,7.657429979,36.74655225,1837,https://akvoflow-23.s3.amazonaws.com/images/f5a48419-ee22-4d69-a0a0-b118c996f889.jpg,2006-11-05,On Spot,,,35,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,tullama,burqaa qaqaa,7.656108329,36.74048646,1808,https://akvoflow-23.s3.amazonaws.com/images/dd708d44-525d-4922-ad65-478de8075041.jpg,2008-12-07,On Spot,,,35,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,tullama,burqaa a/madad,7.659210405,36.73670958,1796,https://akvoflow-23.s3.amazonaws.com/images/b2b854dd-61fd-4d48-a47d-0cd18e098620.jpg,2014-12-05,On Spot,,,35,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,DoyoTolii,qassoo,harbuu,7.706483202,36.72966395,2032,https://akvoflow-23.s3.amazonaws.com/images/ed99355c-7f79-42a7-92a2-a4222bc5a1e2.jpg,2007-12-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,Yes,hin ramhaa,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,DoyoTolii,qassoo,harbuu,7.706751088,36.72948909,2102,https://akvoflow-23.s3.amazonaws.com/images/9fe39df8-cbbb-48a7-943e-a5d46e2575ae.jpg,2007-12-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,Yes,hin ramahaa,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,DoyoTolii,bottoo,burqa awol,7.710162212,36.69647229,2295,https://akvoflow-23.s3.amazonaws.com/images/90f0f61b-137e-4bfd-9187-e6944177535f.jpg,2014-11-05,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,DoyoTolii,qoyyee,koloobo,7.703503672,36.72749196,2096,https://akvoflow-23.s3.amazonaws.com/images/34b2e94e-0f1f-421f-a986-a87a06338e90.jpg,2003-07-05,On Spot,,,60,,Spring,Yes,Yes,Gravity,,,Functional,No,No,Yes,lolaa galcha,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,DoyoTolii,dansaqa,burqa sasib,7.705618446,36.70193416,2197,https://akvoflow-23.s3.amazonaws.com/images/af4982cd-e9cf-43fc-910d-903d3aa1a847.jpg,2003-12-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
